postcode,oa11cd,lsoa11cd,msoa11cd,msoa11hclnm,wd19cd,wd19nm,lon,lat
M154AB,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.26046,53.465578
M154AD,E00030954,E01006112,E02001259,Old Trafford,E05000825,Clifford,-2.260757,53.464903
M154AG,E00030956,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.257546,53.46207
M154AJ,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M154AL,E00030956,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.258379,53.462769
M154AN,E00030956,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.258558,53.462571
M154AQ,E00030956,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.257546,53.46207
M154AS,E00030960,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.257227,53.461621
M154AT,E00030960,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.257227,53.461621
M154AZ,E00030960,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.256355,53.461794
M154BA,E00030960,E01006109,E02001259,Old Trafford,E05000825,Clifford,-2.256355,53.461794
M154BF,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.264138,53.466001
M154BG,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.263445,53.466084
M154BH,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.263519,53.465769
M154BJ,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.263863,53.465463
M154BL,E00031365,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.263529,53.46505
M154BN,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261891,53.46571
M154BT,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.262474,53.464971
M154BU,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261226,53.465325
M154BX,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261697,53.466068
M154BY,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.262599,53.46569
M154BZ,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.26325,53.466353
M154DA,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261814,53.465332
M154DE,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.262017,53.466715
M154ED,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.26445,53.467744
M154EE,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265405,53.46874
M154EF,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265998,53.467283
M154EH,E00168599,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265484,53.466888
M154EJ,E00168599,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.266055,53.466662
M154EP,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.263932,53.466802
M154EZ,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265438,53.469144
M154FB,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.266127,53.466213
M154FD,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.264637,53.466484
M154FE,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.264673,53.467321
M154FF,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.264673,53.467321
M154FH,E00168599,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.266055,53.466662
M154FJ,E00168599,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265343,53.466267
M154FL,E00031365,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.265141,53.465109
M154FP,E00030954,E01006112,E02001259,Old Trafford,E05000825,Clifford,-2.259867,53.464752
M154FU,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261211,53.465307
M154FW,E00031363,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.266599,53.469438
M154GF,E00030954,E01006112,E02001259,Old Trafford,E05000825,Clifford,-2.261041,53.464615
M154GH,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.260914,53.465937
M154GW,E00031366,E01006185,E02001259,Old Trafford,E05000825,Clifford,-2.261684,53.466482
